,Unnamed: 0.1_x,Unnamed: 0_x,Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude,parent,depth,Source_NodeType,Target_NodeType,Unnamed: 0.1_y,similar_template_node,similarity
35,35,1680937,574136,1,475662,29744411,1.0,4.0,2.0,-1.6001,-161.631,-22.6451,90.7897,574136,-1,1,1,,,0.0
36,36,1703375,574136,3,548607,20692525,41.0,,,,,,,574136,-1,1,2,,,0.0
37,37,1703376,574136,0,524570,20692525,1.0,,,,,,,574136,-1,1,1,,,0.0
38,38,1720840,574136,0,608775,12398093,1.0,,,,,,,574136,-1,1,1,,,0.0
39,39,1727845,574136,3,583695,30291706,13.0,,,,,,,574136,-1,1,2,,,0.0
40,40,1795784,574136,1,489194,9808604,1.0,4.0,0.0,-1.6001,-161.631,35.8631,-43.6794,574136,-1,1,1,,,0.0
41,41,1909576,574136,0,537455,8295499,1.0,,,,,,,574136,-1,1,1,,,0.0
42,42,1985016,574136,1,560548,7520632,1.0,4.0,2.0,-1.6001,-161.631,-22.7782,89.8169,574136,-1,1,1,,,0.0
43,43,1985017,574136,2,593195,7520632,317.0,,,,,,,574136,-1,1,2,56.0,503701.0,50.06313959056955
44,44,2180686,574136,0,587622,12882423,1.0,,,,,,,574136,-1,1,1,,,0.0
45,45,2202482,574136,3,475970,16692022,367.0,,,,,,,574136,-1,1,2,,,0.0
46,46,2355524,574136,0,600532,12216731,1.0,,,,,,,574136,-1,1,1,15.0,80.0,73.05922925356886
47,47,2355525,574136,2,593195,12216731,403.0,,,,,,,574136,-1,1,2,56.0,503701.0,50.06313959056955
48,48,2413707,574136,3,641131,2806002,207.0,,,,,,,574136,-1,1,2,30.0,73.0,94.21061554096956
49,49,2413708,574136,1,501687,2806002,1.0,4.0,4.0,-1.6001,-161.631,-1.34936,-161.231,574136,-1,1,1,,,0.0
50,50,2699442,574136,1,490101,12474039,1.0,4.0,4.0,-1.6001,-161.631,12.0441,-163.73,574136,-1,1,1,,,0.0
51,51,2968392,574136,0,508047,29912819,1.0,,,,,,,574136,-1,1,1,,,0.0
52,52,2973003,574136,0,505841,14692692,1.0,,,,,,,574136,-1,1,1,,,0.0
53,53,2987745,574136,0,613431,9945315,1.0,,,,,,,574136,-1,1,1,,,0.0
54,54,2987746,574136,2,593195,9945315,199.0,,,,,,,574136,-1,1,2,56.0,503701.0,50.06313959056955
55,55,3015927,574136,3,551425,3543497,590.0,,,,,,,574136,-1,1,2,,,0.0
56,56,3015928,574136,0,527533,3543497,1.0,,,,,,,574136,-1,1,1,,,0.0
57,57,3168587,574136,3,536851,10899616,146.0,,,,,,,574136,-1,1,2,,,0.0
58,58,3168588,574136,1,465528,10899616,1.0,4.0,1.0,-1.6001,-161.631,-32.4756,-14.9324,574136,-1,1,1,,,0.0
59,59,3177128,574136,0,520131,21604146,1.0,,,,,,,574136,-1,1,1,,,0.0
60,60,3264740,574136,1,476876,23415035,1.0,4.0,1.0,-1.6001,-161.631,-26.6349,-11.824,574136,-1,1,1,,,0.0
61,61,3340236,574136,0,545997,14729317,1.0,,,,,,,574136,-1,1,1,,,0.0
62,62,3359907,574136,1,573798,6839895,1.0,4.0,2.0,-1.6001,-161.631,-23.695,87.9145,574136,-1,1,1,,,0.0
63,63,3423302,574136,1,594957,3728194,1.0,4.0,0.0,-1.6001,-161.631,34.9444,-41.8066,574136,-1,1,1,,,0.0
64,64,3637584,574136,0,571553,16025392,1.0,,,,,,,574136,-1,1,1,,,0.0
65,65,3727820,574136,3,471142,14869083,56.0,,,,,,,574136,-1,1,2,,,0.0
66,66,3727821,574136,1,641920,14869083,1.0,4.0,4.0,-1.6001,-161.631,-2.9917,-164.271,574136,-1,1,1,,,0.0
67,67,3761269,574136,1,550940,20540652,1.0,4.0,3.0,-1.6001,-161.631,-25.0012,-110.395,574136,-1,1,1,,,0.0
68,68,3766393,574136,1,561417,25148749,1.0,4.0,1.0,-1.6001,-161.631,-27.7169,-15.2353,574136,-1,1,1,,,0.0
69,69,3831015,574136,0,513854,28004575,1.0,,,,,,,574136,-1,1,1,,,0.0
70,70,3847661,574136,1,622651,15530586,1.0,4.0,4.0,-1.6001,-161.631,5.5917,-163.824,574136,-1,1,1,,,0.0
71,71,3869879,574136,1,561366,16618535,1.0,4.0,2.0,-1.6001,-161.631,-20.1098,91.2114,574136,-1,1,1,,,0.0
72,72,3881590,574136,1,516841,2350459,1.0,4.0,5.0,-1.6001,-161.631,19.7846,154.797,574136,-1,1,1,,,0.0
73,73,3897437,574136,1,463794,15828537,1.0,4.0,2.0,-1.6001,-161.631,-21.6824,89.1538,574136,-1,1,1,,,0.0
74,74,4076841,574136,1,457058,25335385,1.0,4.0,2.0,-1.6001,-161.631,-20.0432,91.2884,574136,-1,1,1,,,0.0
75,75,4076842,574136,2,516389,25335385,346.0,,,,,,,574136,-1,1,2,58.0,644226.0,76.86232021488777
76,76,4114487,574136,1,623026,2506499,1.0,4.0,4.0,-1.6001,-161.631,2.19298,-160.174,574136,-1,1,1,,,0.0
77,77,4349565,574136,3,606218,15066047,191.0,,,,,,,574136,-1,1,2,,,0.0
78,78,4469998,574136,1,636721,28689153,1.0,4.0,1.0,-1.6001,-161.631,-29.6764,-11.6307,574136,-1,1,1,,,0.0
79,79,4494458,574136,3,552748,14696645,2475.0,,,,,,,574136,-1,1,2,19.0,57.0,27.74807302581342
80,80,4494459,574136,1,496460,14696645,1.0,4.0,4.0,-1.6001,-161.631,3.57966,-172.657,574136,-1,1,1,,,0.0
81,81,4494460,574136,2,593195,14696645,2.0,,,,,,,574136,-1,1,2,56.0,503701.0,50.06313959056955
82,82,4596605,574136,0,493695,13936334,1.0,,,,,,,574136,-1,1,1,,,0.0
83,83,4624096,574136,1,578401,21094222,1.0,4.0,0.0,-1.6001,-161.631,30.0876,-39.6556,574136,-1,1,1,,,0.0
84,84,4624097,574136,2,593195,21094222,595.0,,,,,,,574136,-1,1,2,56.0,503701.0,50.06313959056955
85,85,4875946,574136,3,552748,22756240,49.0,,,,,,,574136,-1,1,2,19.0,57.0,27.74807302581342
86,86,4875947,574136,1,518065,22756240,1.0,4.0,2.0,-1.6001,-161.631,-24.0688,91.9896,574136,-1,1,1,,,0.0
87,87,4943832,574136,1,557368,4068016,1.0,4.0,4.0,-1.6001,-161.631,-3.48492,-158.937,574136,-1,1,1,,,0.0
88,88,5023644,574136,3,585273,13861765,177.0,,,,,,,574136,-1,1,2,,,0.0
89,89,5062692,574136,1,565800,7393039,1.0,4.0,4.0,-1.6001,-161.631,5.99784,-168.793,574136,-1,1,1,,,0.0
90,90,5062693,574136,2,593195,7393039,2333.0,,,,,,,574136,-1,1,2,56.0,503701.0,50.06313959056955
91,91,5139347,574136,0,506422,20252446,1.0,,,,,,,574136,-1,1,1,78.0,606730.0,89.44569710847077
92,92,5139348,574136,2,516389,20252446,15.0,,,,,,,574136,-1,1,2,58.0,644226.0,76.86232021488777
93,93,5314034,574136,1,525053,11258694,1.0,4.0,3.0,-1.6001,-161.631,-24.0786,-110.887,574136,-1,1,1,,,0.0
94,94,5364103,574136,3,569215,6753939,206.0,,,,,,,574136,-1,1,2,,,0.0
95,95,5410032,574136,1,473713,25935619,1.0,4.0,2.0,-1.6001,-161.631,-22.3124,89.9124,574136,-1,1,1,,,0.0
96,96,5427542,574136,1,535740,6176935,1.0,4.0,5.0,-1.6001,-161.631,23.0477,156.312,574136,-1,1,1,,,0.0
97,97,5427543,574136,2,516389,6176935,840.0,,,,,,,574136,-1,1,2,58.0,644226.0,76.86232021488777
98,98,5482519,574136,1,570441,5112056,1.0,4.0,5.0,-1.6001,-161.631,22.9599,153.769,574136,-1,1,1,,,0.0
99,99,5818630,574136,1,539228,25249887,1.0,4.0,2.0,-1.6001,-161.631,-25.7643,90.3548,574136,-1,1,1,,,0.0
100,100,5854266,574136,1,500520,10035769,1.0,4.0,1.0,-1.6001,-161.631,-29.1627,-11.6478,574136,-1,1,1,,,0.0
101,101,5915484,574136,1,599920,26707685,1.0,4.0,1.0,-1.6001,-161.631,-25.0893,-8.92537,574136,-1,1,1,,,0.0
102,102,6195870,574136,3,606218,7095625,3.0,,,,,,,574136,-1,1,2,,,0.0
103,103,6195871,574136,0,488629,7095625,1.0,,,,,,,574136,-1,1,1,,,0.0
104,104,6529245,574136,3,628923,25843010,1.0,,,,,,,574136,-1,1,2,,,0.0
105,105,6628038,574136,1,484733,16620482,1.0,4.0,0.0,-1.6001,-161.631,34.573,-44.0539,574136,-1,1,1,,,0.0
106,106,6692642,574136,1,538828,16616546,1.0,4.0,4.0,-1.6001,-161.631,0.818428,-165.61,574136,-1,1,1,,,0.0
107,107,6713618,574136,0,527963,19568211,1.0,,,,,,,574136,-1,1,1,,,0.0
108,108,6870822,574136,1,561169,20234164,1.0,4.0,2.0,-1.6001,-161.631,-22.0444,93.2622,574136,-1,1,1,,,0.0
109,109,6912182,574136,0,481847,28180334,1.0,,,,,,,574136,-1,1,1,,,0.0
110,110,6912183,574136,2,593195,28180334,506.0,,,,,,,574136,-1,1,2,56.0,503701.0,50.06313959056955
111,111,7030234,574136,1,650889,4002834,1.0,4.0,0.0,-1.6001,-161.631,35.3232,-42.58,574136,-1,1,1,,,0.0
112,112,7068973,574136,1,620791,1991785,1.0,4.0,4.0,-1.6001,-161.631,0.32756,-167.851,574136,-1,1,1,,,0.0
113,113,7068974,574136,2,657187,1991785,633.0,,,,,,,574136,-1,1,2,,,0.0
114,114,7086238,574136,1,620791,24131341,1.0,4.0,4.0,-1.6001,-161.631,0.32756,-167.851,574136,-1,1,1,,,0.0
115,115,7145628,574136,1,485339,29900330,1.0,4.0,2.0,-1.6001,-161.631,-19.374,92.8952,574136,-1,1,1,,,0.0
116,116,7145629,574136,2,593195,29900330,18.0,,,,,,,574136,-1,1,2,56.0,503701.0,50.06313959056955
117,117,7207037,574136,3,492532,274353,1250.0,,,,,,,574136,-1,1,2,,,0.0
118,118,7207038,574136,0,477090,274353,1.0,,,,,,,574136,-1,1,1,,,0.0
119,119,7250722,574136,3,565579,18866894,1.0,,,,,,,574136,-1,1,2,,,0.0
120,120,7329397,574136,1,621823,23266820,1.0,4.0,2.0,-1.6001,-161.631,-22.5113,90.2534,574136,-1,1,1,,,0.0
121,121,7329398,574136,2,516389,23266820,30.0,,,,,,,574136,-1,1,2,58.0,644226.0,76.86232021488777
122,122,7345987,574136,3,457982,2349604,79.0,,,,,,,574136,-1,1,2,,,0.0
123,123,7451059,574136,3,576493,24808536,1159.0,,,,,,,574136,-1,1,2,,,0.0
124,124,7451060,574136,1,470438,24808536,1.0,4.0,0.0,-1.6001,-161.631,30.9359,-46.9709,574136,-1,1,1,,,0.0
125,125,7501307,574136,1,561819,26633878,1.0,4.0,1.0,-1.6001,-161.631,-27.4766,-14.6148,574136,-1,1,1,,,0.0
126,126,7610312,574136,0,522368,8152233,1.0,,,,,,,574136,-1,1,1,,,0.0
127,127,7769427,574136,1,528604,24084756,1.0,4.0,5.0,-1.6001,-161.631,24.5296,156.259,574136,-1,1,1,,,0.0
128,128,7845327,574136,1,561245,13712796,1.0,4.0,0.0,-1.6001,-161.631,27.5202,-45.4208,574136,-1,1,1,,,0.0
129,129,7945107,574136,1,565768,24751568,1.0,4.0,3.0,-1.6001,-161.631,-24.9382,-111.887,574136,-1,1,1,,,0.0
130,130,7990300,574136,0,480025,29814652,1.0,,,,,,,574136,-1,1,1,,,0.0
131,131,7990301,574136,2,593195,29814652,17.0,,,,,,,574136,-1,1,2,56.0,503701.0,50.06313959056955
132,132,8094154,574136,0,484606,23084423,1.0,,,,,,,574136,-1,1,1,,,0.0
133,133,8303028,574136,1,571162,2610512,1.0,4.0,2.0,-1.6001,-161.631,-22.5978,88.2959,574136,-1,1,1,,,0.0
134,134,8346949,574136,1,534382,1139090,1.0,4.0,4.0,-1.6001,-161.631,1.97736,-167.003,574136,-1,1,1,,,0.0
135,135,8385659,574136,1,556366,4085888,1.0,4.0,5.0,-1.6001,-161.631,20.965,154.321,574136,-1,1,1,,,0.0
136,136,8458793,574136,0,638347,440862,1.0,,,,,,,574136,-1,1,1,,,0.0
137,137,8567247,574136,1,608913,1961315,1.0,4.0,3.0,-1.6001,-161.631,-24.9809,-110.229,574136,-1,1,1,,,0.0
138,138,8665812,574136,1,643256,18157845,1.0,4.0,1.0,-1.6001,-161.631,-26.6583,-13.3109,574136,-1,1,1,,,0.0
139,139,8673350,574136,1,632434,30846769,1.0,4.0,4.0,-1.6001,-161.631,7.75908,-169.155,574136,-1,1,1,,,0.0
140,140,8979491,574136,1,498365,29497388,1.0,4.0,4.0,-1.6001,-161.631,0.669289,-168.279,574136,-1,1,1,,,0.0
141,141,8984018,574136,0,621702,27650973,1.0,,,,,,,574136,-1,1,1,,,0.0
142,142,9020819,574136,1,596323,532333,1.0,4.0,4.0,-1.6001,-161.631,-1.38879,-162.786,574136,-1,1,1,,,0.0
143,143,9067783,574136,0,557081,1595769,1.0,,,,,,,574136,-1,1,1,,,0.0
144,144,9092392,574136,1,653982,26183077,1.0,4.0,4.0,-1.6001,-161.631,-0.780139,-160.355,574136,-1,1,1,,,0.0
145,145,9122672,574136,1,546555,15123945,1.0,4.0,5.0,-1.6001,-161.631,22.6559,154.659,574136,-1,1,1,,,0.0
146,146,9161143,574136,0,529784,16081942,1.0,,,,,,,574136,-1,1,1,,,0.0
147,147,9403903,574136,0,616692,8054456,1.0,,,,,,,574136,-1,1,1,,,0.0
148,148,9465733,574136,1,594046,13514056,1.0,4.0,4.0,-1.6001,-161.631,7.24044,-164.701,574136,-1,1,1,,,0.0
149,149,9472541,574136,1,506238,13656016,1.0,4.0,0.0,-1.6001,-161.631,28.3607,-35.4062,574136,-1,1,1,,,0.0
150,150,9508823,574136,1,575863,10034955,1.0,4.0,4.0,-1.6001,-161.631,0.25055,-169.811,574136,-1,1,1,,,0.0
151,151,9531071,574136,0,588876,28870210,1.0,,,,,,,574136,-1,1,1,,,0.0
152,152,9643430,574136,3,520837,8908237,457.0,,,,,,,574136,-1,1,2,,,0.0
153,153,9643431,574136,1,573802,8908237,1.0,4.0,5.0,-1.6001,-161.631,23.8909,154.511,574136,-1,1,1,,,0.0
154,154,9750044,574136,0,537610,12998192,1.0,,,,,,,574136,-1,1,1,,,0.0
155,155,9851623,574136,0,466698,25056016,1.0,,,,,,,574136,-1,1,1,,,0.0
156,156,10090764,574136,0,592031,9550232,1.0,,,,,,,574136,-1,1,1,,,0.0
157,157,10142350,574136,0,635600,2820244,1.0,,,,,,,574136,-1,1,1,,,0.0
158,158,10157128,574136,1,606177,18058019,1.0,4.0,5.0,-1.6001,-161.631,20.523,154.889,574136,-1,1,1,,,0.0
159,159,10501618,574136,1,499263,18321366,1.0,4.0,5.0,-1.6001,-161.631,18.8826,155.105,574136,-1,1,1,,,0.0
160,160,10582419,574136,1,630177,130900,1.0,4.0,3.0,-1.6001,-161.631,-25.3348,-110.453,574136,-1,1,1,,,0.0
161,161,10602514,574136,0,584321,11349383,1.0,,,,,,,574136,-1,1,1,,,0.0
162,162,10722690,574136,0,525821,22223567,1.0,,,,,,,574136,-1,1,1,,,0.0
163,163,10727710,574136,0,480444,13827282,1.0,,,,,,,574136,-1,1,1,,,0.0
164,164,10758596,574136,1,617101,12800890,1.0,4.0,0.0,-1.6001,-161.631,29.5643,-43.4711,574136,-1,1,1,,,0.0
165,165,10959855,574136,1,643151,11864168,1.0,4.0,1.0,-1.6001,-161.631,-29.5147,-16.3034,574136,-1,1,1,,,0.0
166,166,10959856,574136,2,516389,11864168,494.0,,,,,,,574136,-1,1,2,58.0,644226.0,76.86232021488777
167,167,11008097,574136,1,478391,7098277,1.0,4.0,3.0,-1.6001,-161.631,-25.2103,-110.479,574136,-1,1,1,,,0.0
168,168,11035084,574136,1,622819,8406751,1.0,4.0,0.0,-1.6001,-161.631,35.9132,-42.2777,574136,-1,1,1,,,0.0
169,169,11080052,574136,1,542916,26703850,1.0,4.0,2.0,-1.6001,-161.631,-18.7099,90.7964,574136,-1,1,1,,,0.0
170,170,11182450,574136,0,477202,18586316,1.0,,,,,,,574136,-1,1,1,,,0.0
171,171,11250656,574136,0,459593,19199571,1.0,,,,,,,574136,-1,1,1,,,0.0
172,172,11292697,574136,1,512825,28858401,1.0,4.0,2.0,-1.6001,-161.631,-21.8925,90.2038,574136,-1,1,1,,,0.0
173,173,11336467,574136,1,461095,9807717,1.0,4.0,4.0,-1.6001,-161.631,-3.49627,-163.813,574136,-1,1,1,,,0.0
174,174,11421049,574136,0,619103,25682446,1.0,,,,,,,574136,-1,1,1,,,0.0
175,175,11511075,574136,1,508656,21262519,1.0,4.0,4.0,-1.6001,-161.631,3.98567,-168.148,574136,-1,1,1,,,0.0
176,176,11995174,574136,0,476057,22908532,1.0,,,,,,,574136,-1,1,1,,,0.0
177,177,11995530,574136,1,526158,2607966,1.0,4.0,0.0,-1.6001,-161.631,36.0901,-43.9339,574136,-1,1,1,,,0.0
178,178,12043164,574136,1,510199,10568671,1.0,4.0,1.0,-1.6001,-161.631,-31.0046,-12.42,574136,-1,1,1,,,0.0
179,179,12043165,574136,2,593195,10568671,391.0,,,,,,,574136,-1,1,2,56.0,503701.0,50.06313959056955
180,180,12051012,574136,1,657039,24038979,1.0,4.0,2.0,-1.6001,-161.631,-21.3011,92.2892,574136,-1,1,1,,,0.0
181,181,12125445,574136,0,549785,21947624,1.0,,,,,,,574136,-1,1,1,,,0.0
182,182,12172966,574136,0,526215,20915523,1.0,,,,,,,574136,-1,1,1,,,0.0
183,183,12205957,574136,0,458172,1225209,1.0,,,,,,,574136,-1,1,1,,,0.0
184,184,12258766,574136,1,594862,4887641,1.0,4.0,4.0,-1.6001,-161.631,-2.18057,-169.031,574136,-1,1,1,,,0.0
185,185,12280063,574136,1,478350,5445615,1.0,4.0,1.0,-1.6001,-161.631,-27.2446,-10.9473,574136,-1,1,1,,,0.0
186,186,12439141,574136,1,593554,28945466,1.0,4.0,2.0,-1.6001,-161.631,-22.273,86.8294,574136,-1,1,1,,,0.0
187,187,12478645,574136,1,536937,4351370,1.0,4.0,2.0,-1.6001,-161.631,-22.7344,90.9599,574136,-1,1,1,,,0.0
188,188,12777642,574136,0,457395,31213964,1.0,,,,,,,574136,-1,1,1,,,0.0
189,189,12841377,574136,0,633736,6937239,1.0,,,,,,,574136,-1,1,1,,,0.0
190,190,12869602,574136,1,518115,1055169,1.0,4.0,3.0,-1.6001,-161.631,-24.7002,-110.988,574136,-1,1,1,,,0.0
191,191,13007908,574136,1,508719,19993699,1.0,4.0,3.0,-1.6001,-161.631,-26.1677,-111.165,574136,-1,1,1,,,0.0
192,192,13010151,574136,3,641131,16621925,86.0,,,,,,,574136,-1,1,2,30.0,73.0,94.21061554096956
193,193,13010152,574136,1,636335,16621925,1.0,4.0,5.0,-1.6001,-161.631,20.2413,154.812,574136,-1,1,1,,,0.0
194,194,13014478,574136,0,496700,18679619,1.0,,,,,,,574136,-1,1,1,,,0.0
195,195,13014479,574136,2,593195,18679619,1037.0,,,,,,,574136,-1,1,2,56.0,503701.0,50.06313959056955
196,196,13036531,574136,0,515175,9042358,1.0,,,,,,,574136,-1,1,1,,,0.0
197,197,13330244,574136,3,467175,10456947,1020.0,,,,,,,574136,-1,1,2,,,0.0
198,198,13330245,574136,0,657637,10456947,1.0,,,,,,,574136,-1,1,1,,,0.0
199,199,13449977,574136,1,470924,15553012,1.0,4.0,4.0,-1.6001,-161.631,6.30888,-165.495,574136,-1,1,1,,,0.0
200,200,13453026,574136,0,457013,15466721,1.0,,,,,,,574136,-1,1,1,,,0.0
201,201,13671693,574136,0,527220,8305257,1.0,,,,,,,574136,-1,1,1,,,0.0
202,202,13827089,574136,0,554060,6741888,1.0,,,,,,,574136,-1,1,1,,,0.0
203,203,13838054,574136,1,633655,8765280,1.0,4.0,1.0,-1.6001,-161.631,-31.4743,-11.5075,574136,-1,1,1,,,0.0
204,204,13972938,574136,1,623847,10560532,1.0,4.0,4.0,-1.6001,-161.631,3.19359,-159.81,574136,-1,1,1,,,0.0
205,205,13999407,574136,1,513818,14370168,1.0,4.0,1.0,-1.6001,-161.631,-26.1243,-12.1201,574136,-1,1,1,,,0.0
206,206,14092451,574136,1,522433,16692019,1.0,4.0,5.0,-1.6001,-161.631,22.9026,156.059,574136,-1,1,1,,,0.0
207,207,14180630,574136,1,592253,25341163,1.0,4.0,5.0,-1.6001,-161.631,23.6769,159.34,574136,-1,1,1,,,0.0
208,208,14297466,574136,1,541211,6829683,1.0,4.0,0.0,-1.6001,-161.631,33.7462,-41.0618,574136,-1,1,1,,,0.0
209,209,14546979,574136,1,587205,25836032,1.0,4.0,0.0,-1.6001,-161.631,29.9824,-35.4965,574136,-1,1,1,,,0.0
210,210,14650489,574136,0,641128,16084122,1.0,,,,,,,574136,-1,1,1,,,0.0
211,211,14731843,574136,1,562557,22655551,1.0,4.0,0.0,-1.6001,-161.631,38.3054,-40.3283,574136,-1,1,1,,,0.0
212,212,14773763,574136,0,468811,6495172,1.0,,,,,,,574136,-1,1,1,,,0.0
213,213,14799387,574136,1,612492,29903078,1.0,4.0,3.0,-1.6001,-161.631,-25.0262,-110.657,574136,-1,1,1,,,0.0
214,214,14941505,574136,1,544693,11356201,1.0,4.0,0.0,-1.6001,-161.631,38.673,-40.9988,574136,-1,1,1,,,0.0
215,215,14996142,574136,1,557481,16004622,1.0,4.0,3.0,-1.6001,-161.631,-24.2404,-109.432,574136,-1,1,1,,,0.0
216,216,15077923,574136,0,568199,5114144,1.0,,,,,,,574136,-1,1,1,,,0.0
217,217,15151024,574136,1,643846,17971975,1.0,4.0,3.0,-1.6001,-161.631,-24.8013,-110.364,574136,-1,1,1,,,0.0
218,218,15271899,574136,3,479918,28891239,54.0,,,,,,,574136,-1,1,2,,,0.0
219,219,15271900,574136,1,619426,28891239,1.0,4.0,1.0,-1.6001,-161.631,-27.4278,-12.4069,574136,-1,1,1,,,0.0
220,220,15368998,574136,3,643087,16254632,21.0,,,,,,,574136,-1,1,2,23.0,79.0,72.9559381725564
221,221,15368999,574136,1,605540,16254632,1.0,4.0,3.0,-1.6001,-161.631,-24.973,-111.224,574136,-1,1,1,,,0.0
222,222,15381400,574136,0,614047,4695879,1.0,,,,,,,574136,-1,1,1,,,0.0
223,223,15388007,574136,0,571714,5875961,1.0,,,,,,,574136,-1,1,1,,,0.0
224,224,15479781,574136,1,595489,5800108,1.0,4.0,1.0,-1.6001,-161.631,-29.8649,-12.6809,574136,-1,1,1,,,0.0
225,225,15510336,574136,1,479262,4061523,1.0,4.0,1.0,-1.6001,-161.631,-26.2653,-11.6883,574136,-1,1,1,,,0.0
226,226,15647539,574136,1,499564,20995928,1.0,4.0,4.0,-1.6001,-161.631,11.0975,-164.686,574136,-1,1,1,,,0.0
227,227,15703851,574136,0,519848,24562127,1.0,,,,,,,574136,-1,1,1,,,0.0
228,228,15726574,574136,0,476697,11684164,1.0,,,,,,,574136,-1,1,1,,,0.0
229,229,15797772,574136,1,634085,10112637,1.0,4.0,4.0,-1.6001,-161.631,5.27923,-163.354,574136,-1,1,1,,,0.0
230,230,15813239,574136,1,595883,3844463,1.0,4.0,5.0,-1.6001,-161.631,19.802,155.484,574136,-1,1,1,,,0.0
231,231,16053143,574136,0,599481,25190745,1.0,,,,,,,574136,-1,1,1,,,0.0
232,232,16193883,574136,1,639640,26791681,1.0,4.0,0.0,-1.6001,-161.631,33.9114,-52.8718,574136,-1,1,1,,,0.0
