Source,eType,Target,Time,Weight,SourceLocation,TargetLocation,SourceLatitude,SourceLongitude,TargetLatitude,TargetLongitude
474506,0,512311,30709238,1.0,,,,,,
467416,0,504474,29059931,1.0,,,,,,
457661,0,601487,1579008,1.0,,,,,,
492106,1,457661,6919966,1.0,3.0,3.0,-24.2688,-110.567,-23.8008,-110.642
457661,0,617756,10156698,1.0,,,,,,
457661,0,617567,14214857,1.0,,,,,,
506422,1,457661,16640128,1.0,4.0,3.0,-1.59517,-161.865,-23.8008,-110.642
457661,0,591496,16678181,1.0,,,,,,
457661,0,591496,16676305,1.0,,,,,,
655479,0,457661,20149219,1.0,,,,,,
617217,0,457661,22647383,1.0,,,,,,
561671,0,457661,23252406,1.0,,,,,,
457661,0,577058,23643317,1.0,,,,,,
474506,1,457661,24989769,1.0,4.0,3.0,2.95819,-163.314,-23.8008,-110.642
457213,1,462721,6328826,1.0,2.0,0.0,-20.6092,88.9264,34.3404,-50.6969
457213,0,591496,15747616,1.0,,,,,,
457213,0,627032,30596246,1.0,,,,,,
504753,3,552748,19355764,14019.0,,,,,,
591496,3,643087,1005489,343.0,,,,,,
575592,1,591496,4083866,1.0,2.0,5.0,-21.2994,89.6861,22.1943,153.618
575592,0,494390,5830837,1.0,,,,,,
575592,0,600532,7953364,1.0,,,,,,
503753,1,575592,11589627,1.0,2.0,2.0,-21.4587,94.7761,-21.2994,89.6861
575592,0,533297,16944322,1.0,,,,,,
575592,0,504474,23337725,1.0,,,,,,
575592,0,640264,26442326,1.0,,,,,,
575592,1,616225,28536491,1.0,2.0,0.0,-21.2994,89.6861,33.0363,-47.092
589409,0,462721,13676077,1.0,,,,,,
492106,1,503753,4687232,1.0,3.0,2.0,-24.2688,-110.567,-21.4587,94.7761
565931,1,503753,31254031,1.0,1.0,2.0,-24.2765,-12.5937,-21.4587,94.7761
631870,1,595002,1773936,1.0,2.0,3.0,-21.6555,89.47,-25.8263,-110.827
591496,1,595002,5891538,1.0,5.0,3.0,22.1943,153.618,-25.8263,-110.827
595002,1,474506,12654042,1.0,3.0,4.0,-25.8263,-110.827,2.95819,-163.314
595002,1,589409,19455612,1.0,3.0,0.0,-25.8263,-110.827,36.5804,-37.1826
591496,1,595002,22906206,1.0,5.0,3.0,22.1943,153.618,-25.8263,-110.827
595002,0,631870,26959557,1.0,,,,,,
595002,1,626452,30565210,1.0,3.0,4.0,-25.8263,-110.827,6.2955,-165.405
540634,1,515521,8560111,1.0,4.0,5.0,3.67425,-160.744,24.6472,153.448
631870,1,540634,10056277,1.0,2.0,4.0,-21.6555,89.47,3.67425,-160.744
627032,0,591496,28772060,1.0,,,,,,
551139,1,547586,2167819,1.0,3.0,4.0,-24.7073,-110.509,0.848406,-165.523
591865,0,547586,8559944,1.0,,,,,,
577058,1,462721,15733219,1.0,0.0,0.0,29.2932,-36.1968,34.3404,-50.6969
466041,0,551139,872679,1.0,,,,,,
624070,0,617217,1403516,1.0,,,,,,
624070,0,591496,5036016,1.0,,,,,,
504753,0,624070,18777618,1.0,,,,,,
624070,1,492106,19295148,1.0,5.0,3.0,19.0952,157.973,-24.2688,-110.567
656390,1,624070,22583424,1.0,2.0,5.0,-24.69,88.1494,19.0952,157.973
624070,1,503753,26009577,1.0,5.0,2.0,19.0952,157.973,-21.4587,94.7761
655479,1,621518,22392732,1.0,2.0,1.0,-21.0182,90.4192,-28.5498,-16.4693
582897,1,510616,184808,1.0,0.0,5.0,36.0137,-45.5351,22.8195,157.766
510616,0,506422,1774049,1.0,,,,,,
510616,1,492106,8828346,1.0,5.0,3.0,22.8195,157.766,-24.2688,-110.567
510616,1,654917,14866594,1.0,5.0,0.0,22.8195,157.766,36.7184,-34.959
510616,1,509787,24657012,1.0,5.0,3.0,22.8195,157.766,-24.9036,-110.754
462721,3,593195,26972005,668.0,,,,,,
621518,1,633862,624326,1.0,1.0,4.0,-28.5498,-16.4693,-2.31388,-161.344
633862,0,617756,3395557,1.0,,,,,,
600532,1,633862,18768126,1.0,1.0,4.0,-28.4186,-11.9688,-2.31388,-161.344
617756,0,633862,19060240,1.0,,,,,,
640495,1,633862,27496319,1.0,1.0,4.0,-27.943,-11.7009,-2.31388,-161.344
633862,0,626452,29406295,1.0,,,,,,
591496,0,583386,126006,1.0,,,,,,
474506,1,583386,14007884,1.0,4.0,5.0,2.95819,-163.314,17.1657,157.054
583386,0,539941,18374813,1.0,,,,,,
583386,1,498374,23852448,1.0,5.0,0.0,17.1657,157.054,29.8993,-42.8436
583386,1,582897,25936346,1.0,5.0,0.0,17.1657,157.054,36.0137,-45.5351
583386,0,640264,26531552,1.0,,,,,,
506422,1,583386,28513198,1.0,4.0,5.0,-1.59517,-161.865,17.1657,157.054
583386,0,504753,29326338,1.0,,,,,,
583386,0,512311,29635209,1.0,,,,,,
583386,0,649820,31021224,1.0,,,,,,
509623,1,457170,15307367,1.0,4.0,5.0,4.88769,-167.173,20.2241,151.368
625840,0,591496,4502029,1.0,,,,,,
625840,0,600532,10643162,1.0,,,,,,
625840,0,613664,14788453,1.0,,,,,,
625840,0,467416,25262381,1.0,,,,,,
625840,0,640495,26884800,1.0,,,,,,
591496,1,625840,31246291,1.0,5.0,3.0,22.1943,153.618,-25.2534,-111.391
591496,3,552748,15059538,185.0,,,,,,
626452,1,509787,3640363,1.0,4.0,3.0,6.2955,-165.405,-24.9036,-110.754
509787,1,591496,9458766,1.0,3.0,5.0,-24.9036,-110.754,22.1943,153.618
521894,1,509787,13485907,1.0,5.0,3.0,22.9496,155.293,-24.9036,-110.754
503753,0,509787,21430460,1.0,,,,,,
495246,1,466041,12115412,1.0,5.0,0.0,26.5616,159.01,35.0628,-41.4768
495246,1,565931,12451832,1.0,5.0,1.0,26.5616,159.01,-24.2765,-12.5937
495246,1,591194,14213309,1.0,5.0,4.0,26.5616,159.01,-3.82612,-162.765
495246,0,565931,31400170,1.0,,,,,,
623583,0,617756,805145,1.0,,,,,,
504753,1,623583,23629429,1.0,0.0,0.0,30.8083,-43.3497,36.6186,-39.588
564108,1,561671,6395809,1.0,4.0,4.0,1.43629,-166.294,2.27808,-164.573
561671,0,640391,11159318,1.0,,,,,,
485479,0,582897,13577379,1.0,,,,,,
522398,1,640391,16938029,1.0,4.0,4.0,3.58558,-166.295,0.354595,-159.538
466899,1,489418,14007612,1.0,4.0,0.0,5.70948,-167.383,30.8974,-40.6273
462721,1,586303,19110396,1.0,0.0,4.0,34.3404,-50.6969,1.31978,-167.17
586303,1,466899,27444971,1.0,4.0,4.0,1.31978,-167.17,5.70948,-167.383
630746,1,586303,29136658,1.0,3.0,4.0,-25.4304,-110.952,1.31978,-167.17
586303,0,457170,30336910,1.0,,,,,,
511817,0,636863,18241668,1.0,,,,,,
511817,0,597483,19455649,1.0,,,,,,
503753,1,511817,30867926,1.0,2.0,0.0,-21.4587,94.7761,32.612,-41.8968
498374,1,591865,3809540,1.0,0.0,4.0,29.8993,-42.8436,0.543395,-171.415
655901,0,591865,5025994,1.0,,,,,,
591865,1,635422,8177074,1.0,4.0,4.0,0.543395,-171.415,0.379231,-164.334
600532,1,591865,17551138,1.0,1.0,4.0,-28.4186,-11.9688,0.543395,-171.415
624458,1,591865,29382279,1.0,2.0,4.0,-20.8785,92.9273,0.543395,-171.415
591496,1,520019,3878193,1.0,5.0,5.0,22.1943,153.618,21.8133,156.718
462721,3,516389,6411969,18.0,,,,,,
636863,0,462721,14439606,1.0,,,,,,
551098,1,457170,1581164,1.0,4.0,5.0,0.375407,-164.376,20.2241,151.368
457170,0,589486,5117136,1.0,,,,,,
457082,1,457170,10481297,1.0,1.0,5.0,-28.0864,-13.8912,20.2241,151.368
457170,0,506422,11440326,1.0,,,,,,
645164,0,520019,5044368,1.0,,,,,,
645164,0,640391,8187723,1.0,,,,,,
645164,1,466899,13489206,1.0,3.0,4.0,-24.7101,-110.334,5.70948,-167.383
645164,0,504753,15612520,1.0,,,,,,
645164,1,640264,20744122,1.0,3.0,2.0,-24.7101,-110.334,-21.6291,88.6752
645164,1,600532,23335002,1.0,3.0,1.0,-24.7101,-110.334,-28.4186,-11.9688
645164,0,495246,23464393,1.0,,,,,,
645164,1,640264,24652846,1.0,3.0,2.0,-24.7101,-110.334,-21.6291,88.6752
645164,0,539666,27412830,1.0,,,,,,
506422,3,641131,5372795,347.0,,,,,,
551098,1,506422,13518234,1.0,4.0,4.0,0.375407,-164.376,-1.59517,-161.865
591496,0,631870,30340458,1.0,,,,,,
492106,1,467416,3802643,1.0,3.0,4.0,-24.2688,-110.567,2.06536,-167.634
467416,1,626452,27536761,1.0,4.0,4.0,2.06536,-167.634,6.2955,-165.405
624458,1,457082,8393777,1.0,2.0,1.0,-20.8785,92.9273,-28.0864,-13.8912
565931,1,624458,15037482,1.0,1.0,2.0,-24.2765,-12.5937,-20.8785,92.9273
635422,0,640391,22467374,1.0,,,,,,
530439,1,601487,606509,1.0,4.0,2.0,0.993996,-170.263,-22.7803,87.3741
503753,0,601487,1221608,1.0,,,,,,
601487,0,551098,13527549,1.0,,,,,,
601487,1,613664,20217658,1.0,2.0,5.0,-22.7803,87.3741,22.873,154.954
573604,1,601487,22580414,1.0,0.0,2.0,32.6397,-41.6616,-22.7803,87.3741
601487,1,561671,23892310,1.0,2.0,4.0,-22.7803,87.3741,2.27808,-164.573
565931,0,601487,28202112,1.0,,,,,,
551098,1,482230,6149539,1.0,4.0,0.0,0.375407,-164.376,30.7984,-40.4784
482230,1,624070,17299549,1.0,0.0,5.0,30.7984,-40.4784,19.0952,157.973
551098,1,586303,1496882,1.0,4.0,4.0,0.375407,-164.376,1.31978,-167.17
504753,0,582897,25751297,1.0,,,,,,
600532,3,641131,23076782,68.0,,,,,,
506422,0,640635,11873528,1.0,,,,,,
649820,1,656390,11930436,1.0,5.0,2.0,22.7004,154.356,-24.69,88.1494
591496,1,573604,23436253,1.0,5.0,0.0,22.1943,153.618,32.6397,-41.6616
573604,1,491639,28629204,1.0,0.0,5.0,32.6397,-41.6616,21.361,156.484
491639,0,504474,2509954,1.0,,,,,,
491639,1,640635,5460349,1.0,5.0,0.0,21.361,156.484,32.6335,-37.1001
491639,1,625840,6613493,1.0,5.0,3.0,21.361,156.484,-25.2534,-111.391
491639,1,457170,7789695,1.0,5.0,5.0,21.361,156.484,20.2241,151.368
577058,1,491639,10036283,1.0,0.0,5.0,29.2932,-36.1968,21.361,156.484
491639,1,633862,10496895,1.0,5.0,4.0,21.361,156.484,-2.31388,-161.344
491639,0,503753,11772551,1.0,,,,,,
491639,0,649820,13532454,1.0,,,,,,
491639,1,624070,14947501,1.0,5.0,5.0,21.361,156.484,19.0952,157.973
491639,0,457661,15565918,1.0,,,,,,
491639,0,547586,16259191,1.0,,,,,,
462721,0,491639,20073417,1.0,,,,,,
491639,1,631870,20249324,1.0,5.0,2.0,21.361,156.484,-21.6555,89.47
491639,1,582897,20838275,1.0,5.0,0.0,21.361,156.484,36.0137,-45.5351
626712,0,491639,22325536,1.0,,,,,,
504753,3,641131,15567146,286.0,,,,,,
462721,3,641131,28380809,1063.0,,,,,,
458409,0,582897,29989964,1.0,,,,,,
613664,1,504474,16190402,1.0,5.0,4.0,22.873,154.954,-0.763172,-160.33
613664,0,462721,30179417,1.0,,,,,,
506422,1,582897,278732,1.0,4.0,0.0,-1.59517,-161.865,36.0137,-45.5351
462721,0,631870,18902547,1.0,,,,,,
533297,0,564108,6772690,1.0,,,,,,
547586,0,591194,25488539,1.0,,,,,,
540634,1,617756,30715150,1.0,4.0,2.0,3.67425,-160.744,-22.4801,90.368
584010,1,506422,14877131,1.0,4.0,4.0,6.30631,-160.075,-1.59517,-161.865
595002,1,589409,19338192,1.0,3.0,0.0,-25.8263,-110.827,36.5804,-37.1826
624070,1,492106,19451582,1.0,5.0,3.0,19.0952,157.973,-24.2688,-110.567
583386,1,498374,23760402,1.0,5.0,0.0,17.1657,157.054,29.8993,-42.8436
591496,1,625840,31166742,1.0,5.0,3.0,22.1943,153.618,-25.2534,-111.391
521894,1,509787,13401810,1.0,5.0,3.0,22.9496,155.293,-24.9036,-110.754
509787,5,536346,31536000,709.13,,,,,,
583386,5,536346,31536000,111.77,,,,,,
551098,5,536346,31536000,1014.24,,,,,,
591865,5,536346,31536000,81.11,,,,,,
640391,5,536346,31536000,421.74,,,,,,
581049,5,536346,31536000,404.88,,,,,,
491639,5,536346,31536000,962.56,,,,,,
466041,5,536346,31536000,1709.28,,,,,,
492106,5,536346,31536000,544.66,,,,,,
654917,5,536346,31536000,1263.81,,,,,,
630746,5,536346,31536000,1034.43,,,,,,
640635,5,536346,31536000,2135.91,,,,,,
589409,5,536346,31536000,1247.93,,,,,,
640495,5,536346,31536000,2122.88,,,,,,
621518,5,536346,31536000,1700.79,,,,,,
521894,5,536346,31536000,1834.86,,,,,,
520019,5,536346,31536000,5093.44,,,,,,
457082,5,536346,31536000,680.86,,,,,,
655901,5,536346,31536000,330.26,,,,,,
595002,5,536346,31536000,1183.64,,,,,,
575592,5,536346,31536000,968.17,,,,,,
457661,5,536346,31536000,738.5,,,,,,
573604,5,536346,31536000,2761.9,,,,,,
539666,5,536346,31536000,88.96,,,,,,
635422,5,536346,31536000,338.12,,,,,,
511817,5,536346,31536000,188.01,,,,,,
617217,5,536346,31536000,346.23,,,,,,
458409,5,536346,31536000,489.62,,,,,,
591194,5,536346,31536000,529.45,,,,,,
495246,5,536346,31536000,1976.13,,,,,,
640264,5,536346,31536000,312.42,,,,,,
616225,5,536346,31536000,563.79,,,,,,
584010,5,536346,31536000,39.28,,,,,,
624458,5,536346,31536000,201.23,,,,,,
655479,5,536346,31536000,1787.77,,,,,,
498374,5,536346,31536000,6179.32,,,,,,
564108,5,536346,31536000,107.17,,,,,,
540634,5,536346,31536000,397.01,,,,,,
533297,5,536346,31536000,248.6,,,,,,
547586,5,536346,31536000,204.98,,,,,,
591496,5,536346,31536000,1509.92,,,,,,
623583,5,536346,31536000,2468.77,,,,,,
539941,5,536346,31536000,1581.63,,,,,,
613664,5,536346,31536000,234.55,,,,,,
494390,5,536346,31536000,96.46,,,,,,
631870,5,536346,31536000,3531.21,,,,,,
474506,5,536346,31536000,159.27,,,,,,
466899,5,536346,31536000,496.42,,,,,,
510616,5,536346,31536000,437.8,,,,,,
627032,5,536346,31536000,507.74,,,,,,
600532,5,536346,31536000,1385.28,,,,,,
551139,5,536346,31536000,1608.59,,,,,,
626452,5,536346,31536000,141.0,,,,,,
636863,5,536346,31536000,3306.88,,,,,,
489418,5,536346,31536000,3224.73,,,,,,
589486,5,536346,31536000,729.6,,,,,,
636189,5,536346,31536000,77.85,,,,,,
565931,5,536346,31536000,155.21,,,,,,
467416,5,536346,31536000,721.15,,,,,,
617756,5,536346,31536000,1225.99,,,,,,
656390,5,536346,31536000,682.43,,,,,,
561671,5,536346,31536000,351.2,,,,,,
624070,5,536346,31536000,1556.41,,,,,,
512311,5,536346,31536000,2322.22,,,,,,
625840,5,536346,31536000,945.5,,,,,,
561656,5,536346,31536000,1404.2,,,,,,
586303,5,536346,31536000,738.62,,,,,,
504474,5,536346,31536000,893.53,,,,,,
457213,5,536346,31536000,1893.64,,,,,,
626712,5,536346,31536000,2095.33,,,,,,
